accession,organism,replicon_name,replicon_type,replicon_length,mean_orbit_ratio,palindrome_fraction,rc_fixed_fraction,shift_sym_fraction
GCF_021397735.1,Vibrio harveyi,NZ_CP090179.1,unknown,3504760,1.0,0.0,0.0,0.0
GCF_021397735.1,Vibrio harveyi,NZ_CP090178.1,unknown,2218060,1.0,0.0,0.0,0.0
GCF_038449195.1,Bradyrhizobium ottawaense,NZ_CP150123.1,unknown,8595668,1.0,0.0,0.0,0.0
GCF_038449195.1,Bradyrhizobium ottawaense,NZ_CP150124.1,unknown,361329,1.0,0.0,0.0,0.0
GCF_011106775.1,Klebsiella pneumoniae,NZ_CP040033.1,unknown,5381963,1.0,0.0,0.0,0.0
GCF_011106775.1,Klebsiella pneumoniae,NZ_CP040036.1,unknown,65499,1.0,0.0,0.0,0.0
GCF_011106775.1,Klebsiella pneumoniae,NZ_CP040034.1,unknown,176345,1.0,0.0,0.0,0.0
GCF_011106775.1,Klebsiella pneumoniae,NZ_CP040035.1,unknown,148625,1.0,0.0,0.0,0.0
GCF_011106775.1,Klebsiella pneumoniae,NZ_CP040037.1,unknown,4938,1.0,0.0,0.0,0.0
GCF_045924105.1,Enterococcus faecium,NZ_CP161863.1,unknown,2533916,1.0,0.0,0.0,0.0
GCF_045924105.1,Enterococcus faecium,NZ_CP161864.1,unknown,175811,1.0,0.0,0.0,0.0
GCF_045924105.1,Enterococcus faecium,NZ_CP161865.1,unknown,55596,1.0,0.0,0.0,0.0
GCF_045924105.1,Enterococcus faecium,NZ_CP161866.1,unknown,24681,1.0,0.0,0.0,0.0
GCF_052487945.1,Zobellella sp. An-6,NZ_CP199259.1,unknown,4236333,1.0,0.0,0.0,0.0
GCF_977065475.1,Escherichia coli,NZ_OZ369465.1,unknown,5156475,1.0,0.0,0.0,0.0
GCF_977065475.1,Escherichia coli,NZ_OZ369466.1,unknown,106011,1.0,0.0,0.0,0.0
GCF_977065475.1,Escherichia coli,NZ_OZ369467.1,unknown,90638,1.0,0.0,0.0,0.0
GCF_977065475.1,Escherichia coli,NZ_OZ369468.1,unknown,89716,1.0,0.0,0.0,0.0
GCF_977065475.1,Escherichia coli,NZ_OZ369469.1,unknown,9373,1.0,0.0,0.0,0.0
GCF_008124045.1,Acinetobacter baumannii,NZ_CP043180.1,unknown,3843574,1.0,0.0,0.0,0.0
GCF_035323845.1,Enterobacter hormaechei,NZ_CP139334.1,unknown,4590323,1.0,0.0,0.0,0.0
GCF_035323845.1,Enterobacter hormaechei,NZ_CP139333.1,unknown,64312,1.0,0.0,0.0,0.0
GCF_021052345.1,Rhizobium sp. SU303,NZ_CP088095.1,unknown,5012391,1.0,0.0,0.0,0.0
GCF_021052345.1,Rhizobium sp. SU303,NZ_CP088096.1,unknown,938151,1.0,0.0,0.0,0.0
GCF_021052345.1,Rhizobium sp. SU303,NZ_CP088097.1,unknown,529550,1.0,0.0,0.0,0.0
GCF_021052345.1,Rhizobium sp. SU303,NZ_CP088098.1,unknown,333186,1.0,0.0,0.0,0.0
GCF_021052345.1,Rhizobium sp. SU303,NZ_CP088099.1,unknown,261567,1.0,0.0,0.0,0.0
GCF_053338875.1,Salmonella enterica subsp. enterica serovar Corvallis,NZ_CP175687.1,unknown,4886585,1.0,0.0,0.0,0.0
GCF_053338875.1,Salmonella enterica subsp. enterica serovar Corvallis,NZ_CP175688.1,unknown,111842,1.0,0.0,0.0,0.0
GCF_053338875.1,Salmonella enterica subsp. enterica serovar Corvallis,NZ_CP175689.1,unknown,2552,1.0,0.0,0.0,0.0
GCF_053338875.1,Salmonella enterica subsp. enterica serovar Corvallis,NZ_CP175690.1,unknown,2442,1.0,0.0,0.0,0.0
GCF_011302915.1,Thermomonas sp. HDW16,NZ_CP049872.1,unknown,2795589,1.0,0.0,0.0,0.0
GCF_018603395.1,Clostridioides difficile,NZ_CP075684.1,unknown,3998618,1.0,0.0,0.0,0.0
